event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_mass
0,0,,
1,0,,
2,1,0,166.50969
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,1,0,142.004423
9,1,1,172.35984
10,1,0,167.925493
11,1,0,158.160081
12,0,,
13,1,0,155.070144
14,1,1,135.221866
15,0,,
16,1,0,166.396125
17,1,1,179.44802
18,0,,
19,1,0,162.37976
20,1,1,182.506042
21,0,,
22,0,,
23,0,,
24,1,1,168.349853
25,0,,
26,2,0,159.999094
27,0,,
28,0,,
29,0,,
30,1,1,106.498274
31,2,0,158.999524
32,0,,
33,1,0,155.630306
34,1,0,191.111543
35,1,1,164.676597
36,1,1,167.546039
37,0,,
38,1,0,230.404929
39,1,1,157.919378
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,1,0,174.69738
46,0,,
47,0,,
48,0,,
49,1,1,142.912456
50,0,,
51,1,1,180.901209
52,1,1,174.781605
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,1,1,141.947593
59,1,1,148.513924
60,0,,
61,0,,
62,1,0,162.505062
63,1,1,171.476824
64,1,1,146.161544
65,1,0,128.25701
66,0,,
67,0,,
68,0,,
69,1,1,167.759358
70,0,,
71,0,,
72,1,0,170.926381
73,1,0,166.466148
74,0,,
75,1,1,156.143008
76,1,1,131.921015
77,1,0,153.998944
78,1,0,175.430913
79,0,,
80,0,,
81,1,1,171.050562
82,0,,
83,1,0,160.909512
84,0,,
85,1,1,154.380891
86,1,0,191.620707
87,0,,
88,2,1,176.946051
89,0,,
90,2,1,188.672518
91,1,1,482.161609
92,0,,
93,0,,
94,0,,
95,0,,
96,0,,
97,1,1,160.909493
98,0,,
99,0,,
100,0,,
101,0,,
102,0,,
103,0,,
104,0,,
105,1,0,357.535676
106,0,,
107,2,1,144.979368
108,0,,
109,0,,
110,1,1,167.735914
111,1,1,247.533731
112,1,1,170.947693
113,1,0,151.132815
114,1,0,141.12534
115,1,0,163.877557
116,0,,
117,1,0,168.935775
118,0,,
119,0,,
120,2,1,164.927821
121,1,1,164.426366
122,2,1,169.505153
123,1,1,208.959253
124,0,,
125,0,,
126,1,0,156.944261
127,0,,
128,0,,
129,0,,
130,0,,
131,0,,
132,1,1,159.49619
133,1,1,159.225148
134,0,,
135,0,,
136,0,,
137,0,,
138,0,,
139,0,,
140,1,1,171.167419
141,0,,
142,1,0,155.796483
143,0,,
144,2,1,175.932916
145,0,,
146,1,0,181.736827
147,1,1,165.435323
148,1,0,151.892904
149,1,0,153.632471
150,0,,
151,1,0,140.303418
152,0,,
153,0,,
154,1,0,167.575938
155,1,1,171.472908
156,0,,
157,0,,
158,1,1,153.166248
159,0,,
160,0,,
161,0,,
162,0,,
163,1,0,192.361515
164,1,0,169.184329
165,1,0,144.134195
166,1,0,156.529845
167,0,,
168,0,,
169,1,1,245.770247
170,0,,
171,0,,
172,0,,
173,1,1,179.479473
174,0,,
175,0,,
176,1,1,177.009563
177,0,,
178,1,0,178.87077
179,0,,
180,1,0,217.067498
181,1,0,177.266521
182,1,1,130.096529
183,0,,
184,0,,
185,0,,
186,0,,
187,0,,
188,1,0,170.216185
189,0,,
190,0,,
191,1,1,149.040172
192,1,1,229.36518
193,0,,
194,1,0,211.434814
195,0,,
196,1,0,165.43354
197,0,,
198,0,,
199,1,0,158.246135
200,0,,
201,0,,
202,0,,
203,0,,
204,1,0,142.828354
205,1,1,163.52517
206,0,,
207,1,1,140.145064
208,0,,
209,0,,
210,0,,
211,1,0,151.309834
212,0,,
213,1,0,159.619306
214,1,0,166.087007
215,0,,
216,1,1,166.681728
217,0,,
218,0,,
219,2,0,177.129791
220,1,1,173.506356
221,0,,
222,1,0,196.569943
223,1,0,160.617812
224,0,,
225,1,0,182.762755
226,0,,
227,0,,
228,1,0,166.202231
229,1,1,175.562601
230,1,0,227.426267
231,0,,
232,0,,
233,0,,
234,0,,
235,1,1,168.518794
236,1,1,169.151325
237,0,,
238,2,0,139.849837
239,0,,
240,0,,
241,1,0,173.831566
242,0,,
243,1,1,153.802107
244,1,0,246.082761
245,1,1,166.783296
246,1,1,162.377077
247,1,1,182.118555
248,1,1,172.469607
249,0,,
250,1,0,151.66542
251,0,,
252,0,,
