particle1_pt,particle1_eta,particle1_phi,particle2_pt,particle2_eta,particle2_phi,particle3_pt,particle3_eta,particle3_phi
,,,,,,,,
,,,,,,,,
57.7407265,-0.951306343,2.49059391,52.8401146,-0.35628438,-1.81824899,56.2212982,-1.52697408,-1.47043955
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
89.5824738,-0.339487284,1.88576639,40.4433823,-0.604357243,0.91903013,33.275013,-1.11194217,-2.32488346
51.6902542,-0.613590062,2.35568166,86.7391205,-0.204294696,0.155874476,37.6098366,-0.468296707,-1.39280486
73.6359024,-2.04676604,0.546039641,115.015274,-0.878980756,0.0485874936,32.4729385,-1.35019386,-1.15658247
82.163208,-0.108570091,1.0033673,30.718317,0.168246984,-2.01156116,59.4125824,-0.549652636,-0.388348609
,,,,,,,,
60.0066795,0.6427809,0.694058418,33.2986946,-1.23012638,-2.95004606,27.6590061,-0.261577547,0.144696906
32.8778305,0.928508341,0.271642596,53.4129448,-0.466353387,1.86282444,33.5525513,-0.747735083,-0.351095408
,,,,,,,,
39.249527,-0.736310184,-1.67582393,33.0206261,1.76703787,-1.59887064,100.948723,0.552146196,-1.93474007
53.8514862,-0.622091949,-2.86623311,52.1592102,-1.02616179,0.72423023,72.5974884,-0.447589219,-0.703540444
,,,,,,,,
29.9953632,1.68636429,-2.8345654,44.3031807,0.391780019,2.51566625,74.4262695,-0.0650604591,1.18233407
54.1565018,-0.561831117,-1.84569013,74.5675659,-0.317846179,2.95430398,90.8724747,-1.2123307,2.39199376
,,,,,,,,
,,,,,,,,
,,,,,,,,
58.3818855,-0.52797395,-1.83897805,99.425209,-0.685980737,2.4581356,26.5668831,-0.497815728,1.08242047
,,,,,,,,
107.345207,-2.229913,-1.80671942,31.6518764,-1.86924565,2.34266162,45.3710289,-1.47730446,-0.787252128
,,,,,,,,
,,,,,,,,
,,,,,,,,
40.1718369,1.02557039,-1.61063313,29.3801079,1.14989519,1.41759121,39.4757347,0.779255629,-3.11135173
25.5883236,-1.56654704,0.986090004,32.963562,0.0840362683,0.765993357,71.9995728,0.501942158,-0.947490931
,,,,,,,,
29.6459427,1.1859374,-0.723594248,35.6315651,0.915308595,-2.96107316,122.945961,1.77737749,2.9295814
107.562119,0.480249017,-1.84285414,46.0889015,0.160859495,2.31607938,43.8236198,-0.600484252,-0.742944896
38.2332954,-0.730861783,-1.47785604,50.1570892,-1.28066993,-0.458894372,182.566895,-1.150666,0.314480335
69.1556931,1.28815567,-0.297339708,48.4920464,0.458999395,-2.33936596,31.6306858,1.95135975,3.05757833
,,,,,,,,
136.538345,-1.10547483,2.85783172,43.4476166,-1.0763427,0.714619458,50.8534737,-0.180832401,-1.59963441
119.819855,-0.314573526,2.5163815,109.764069,-0.490879536,-2.59708428,49.6279907,-0.901079297,2.91228819
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
31.2825947,-0.801714003,-1.92565989,205.501999,-0.406597108,-0.152291983,133.645279,-0.69605428,-0.454701662
,,,,,,,,
,,,,,,,,
,,,,,,,,
