event_index,n_gen_triplet,leading_truth_triplet_slot,m_jet1jet2,m_jet2jet3
0,0,,,
1,0,,,
2,1,0,111.564228,73.6914739
3,0,,,
4,0,,,
5,0,,,
6,0,,,
7,0,,,
8,1,0,58.8538579,76.6086456
9,1,1,124.463157,86.0687728
10,1,0,125.209739,82.8439302
11,1,0,97.7759783,71.824767
12,0,,,
13,1,0,131.571367,69.2979646
14,1,1,77.4434579,67.5267775
15,0,,,
16,1,0,90.246257,116.532175
17,1,1,113.248701,106.930091
18,0,,,
19,1,0,78.8993221,61.7205401
20,1,1,92.4573506,89.7128637
21,0,,,
22,0,,,
23,0,,,
24,1,1,131.753289,80.7497144
25,0,,,
26,2,0,91.6352754,78.5876872
27,0,,,
28,0,,,
29,0,,,
30,1,1,58.3766172,56.6434183
31,2,0,77.7616499,55.1153851
32,0,,,
33,1,0,73.3690505,61.2496288
34,1,0,125.333604,97.0983506
35,1,1,75.3223078,51.74436
36,1,1,113.096408,75.5947298
37,0,,,
38,1,0,157.727394,98.4593549
39,1,1,131.127753,68.3952808
40,0,,,
41,0,,,
42,0,,,
43,0,,,
44,0,,,
45,1,0,76.9043491,88.7015697
46,0,,,
47,0,,,
48,0,,,
49,1,1,103.20579,81.104878
50,0,,,
51,1,1,120.843896,102.821069
52,1,1,112.350549,78.3934902
53,0,,,
54,0,,,
55,0,,,
56,0,,,
57,0,,,
58,1,1,115.03876,56.0508639
59,1,1,78.4688034,90.4502421
60,0,,,
61,0,,,
62,1,0,118.471569,73.9031682
63,1,1,138.052007,68.696139
64,1,1,97.639057,76.8241673
65,1,0,81.6643906,42.7696784
66,0,,,
67,0,,,
68,0,,,
69,1,1,80.2787907,98.9233042
70,0,,,
71,0,,,
72,1,0,130.952472,75.2716094
73,1,0,147.590395,75.2161297
74,0,,,
75,1,1,58.4638581,92.860711
76,1,1,48.3555401,62.4010972
77,1,0,110.003118,66.7050763
78,1,0,80.2616661,116.566723
79,0,,,
80,0,,,
81,1,1,75.6971685,79.1246542
82,0,,,
83,1,0,76.3394519,111.810412
84,0,,,
85,1,1,78.978833,99.9120217
86,1,0,104.069796,110.438661
87,0,,,
88,2,1,82.121469,127.741084
89,0,,,
90,2,1,143.193078,98.9845304
91,1,1,423.615542,55.7784196
92,0,,,
93,0,,,
94,0,,,
95,0,,,
96,0,,,
97,1,1,128.756625,70.1324316
98,0,,,
99,0,,,
100,0,,,
101,0,,,
102,0,,,
103,0,,,
104,0,,,
105,1,0,268.304656,86.6273977
106,0,,,
107,2,1,97.4222371,72.4980207
108,0,,,
109,0,,,
110,1,1,135.88728,83.5894026
111,1,1,204.650802,117.123537
112,1,1,78.8988609,97.9335208
113,1,0,92.8066367,97.2929607
114,1,0,88.7015739,88.0458006
115,1,0,79.5607792,80.033358
116,0,,,
117,1,0,135.044699,76.9444093
118,0,,,
119,0,,,
120,2,1,112.90353,66.1995025
121,1,1,73.8813691,111.54312
122,2,1,77.925316,75.0950467
123,1,1,73.2474504,159.161229
124,0,,,
125,0,,,
126,1,0,125.653801,61.1302634
127,0,,,
128,0,,,
129,0,,,
130,0,,,
131,0,,,
132,1,1,90.3915517,106.849288
133,1,1,84.0000081,79.6537854
134,0,,,
135,0,,,
136,0,,,
137,0,,,
138,0,,,
139,0,,,
140,1,1,82.6519248,78.7081769
141,0,,,
142,1,0,85.138478,88.8677352
143,0,,,
144,2,1,83.8546345,104.339295
145,0,,,
146,1,0,107.375915,85.0803493
147,1,1,127.81923,67.6283693
148,1,0,116.095205,57.6494501
149,1,0,102.591151,65.8512262
150,0,,,
151,1,0,87.3399579,80.8727263
152,0,,,
153,0,,,
154,1,0,136.601678,67.8163439
155,1,1,112.574672,102.952823
156,0,,,
157,0,,,
158,1,1,106.236089,80.1832722
159,0,,,
160,0,,,
161,0,,,
162,0,,,
163,1,0,131.930393,78.0280146
164,1,0,57.1047413,77.4209307
165,1,0,73.2098375,82.5811554
166,1,0,65.9656348,82.5203111
167,0,,,
168,0,,,
169,1,1,147.118021,128.310068
170,0,,,
171,0,,,
172,0,,,
173,1,1,147.191635,59.8470544
174,0,,,
175,0,,,
176,1,1,136.653111,89.506886
177,0,,,
178,1,0,101.714736,80.5828356
179,0,,,
