event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_pt,triplet_jet_0_index,triplet_jet_0_pt,triplet_jet_0_eta,triplet_jet_0_phi,triplet_jet_0_m,triplet_jet_0_px,triplet_jet_0_py,triplet_jet_0_pz,triplet_jet_0_E,triplet_jet_1_index,triplet_jet_1_pt,triplet_jet_1_eta,triplet_jet_1_phi,triplet_jet_1_m,triplet_jet_1_px,triplet_jet_1_py,triplet_jet_1_pz,triplet_jet_1_E,triplet_jet_2_index,triplet_jet_2_pt,triplet_jet_2_eta,triplet_jet_2_phi,triplet_jet_2_m,triplet_jet_2_px,triplet_jet_2_py,triplet_jet_2_pz,triplet_jet_2_E
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,89.6909333,2,57.7407265,-0.951306343,2.49059391,11.4358759,-45.9315339,34.989794,-63.5971822,86.6566347,4,52.8401146,-0.35628438,-1.81824899,11.4898186,-12.942394,-51.2305782,-19.2269362,57.3913645,3,56.2212982,-1.52697408,-1.47043955,6.98766232,5.632722,-55.9384199,-123.322313,135.713134
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,0,96.6377558,0,89.5824738,-0.339487284,1.88576639,6.17477608,-27.7515758,85.1755226,-30.9996605,94.9954021,1,40.4433823,-0.604357243,0.91903013,2.61234283,24.532612,32.1530421,-25.9575739,48.1278209,2,33.275013,-1.11194217,-2.32488346,8.40417004,-22.7808581,-24.254051,-45.109901,56.6812114
9,1,1,57.3130054,2,51.6902542,-0.613590062,2.35568166,7.5849576,-36.5317802,36.5692688,-33.7446083,62.1941521,0,86.7391205,-0.204294696,0.155874476,14.2915516,85.6875085,13.4657308,-17.8438634,89.7013207,3,37.6098366,-0.468296707,-1.39280486,8.73176479,6.65893928,-37.0156499,-18.2634028,42.7117713
10,1,0,191.397277,1,73.6359024,-2.04676604,0.546039641,10.5771828,62.9283483,38.2396275,-280.319683,290.02284,0,115.015274,-0.878980756,0.0485874936,13.7562485,114.87954,5.58610539,-114.626394,162.963057,4,32.4729385,-1.35019386,-1.15658247,4.47016907,13.0693962,-29.7267997,-58.4347832,67.0007316
11,1,0,88.1173977,0,82.163208,-0.108570091,1.0033673,12.3901787,44.1599109,69.287048,-8.93800229,83.5715093,3,30.718317,0.168246984,-2.01156116,6.72120857,-13.1053962,-27.7824332,5.19268179,31.8708894,1,59.4125824,-0.549652636,-0.388348609,11.4691248,54.9884624,-22.4971988,-34.3256431,69.567561
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0,54.4371147,1,60.0066795,0.6427809,0.694058418,12.3486404,46.1245145,38.3839909,41.2826162,73.8751982,3,33.2986946,-1.23012638,-2.95004606,9.99267673,-32.6896939,-6.33931982,-52.1025724,62.6365285,6,27.6590061,-0.261577547,0.144696906,3.57976842,27.36996,3.98822152,-7.31776391,28.8337481
14,1,1,68.0493079,5,32.8778305,0.928508341,0.271642596,10.2518892,31.6722486,8.82158754,35.1067614,49.1786302,2,53.4129448,-0.466353387,1.86282444,6.140378,-15.3773231,51.1515455,-25.8220792,59.6441673,4,33.5525513,-0.747735083,-0.351095408,4.84675646,31.5057294,-11.5396148,-27.4925072,43.6474821
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,0,171.348944,3,39.249527,-0.736310184,-1.67582393,7.97496653,-4.11470912,-39.0332491,-31.5828878,51.0059238,5,33.0206261,1.76703787,-1.59887064,4.28289318,-0.926909463,-33.007614,93.8223397,99.5556947,1,100.948723,0.552146196,-1.93474007,9.5369072,-35.9339514,-94.3366089,58.61406,117.120473
